A,B,C,D,F
1.0,2013-01-02,1.0,3,foo_0
1.0,2013-01-02,1.0,3,foo_1
1.0,2013-01-02,1.0,3,foo_2
1.0,2013-01-02,1.0,3,foo_3
1.0,2013-01-02,1.0,3,foo_4
1.0,2013-01-02,1.0,3,foo_5
1.0,2013-01-02,1.0,3,foo_6
1.0,2013-01-02,1.0,3,foo_7
1.0,2013-01-02,1.0,3,foo_8
1.0,2013-01-02,1.0,3,foo_9
1.0,2013-01-02,1.0,3,foo_10
1.0,2013-01-02,1.0,3,foo_11
1.0,2013-01-02,1.0,3,foo_12
1.0,2013-01-02,1.0,3,foo_13
1.0,2013-01-02,1.0,3,foo_14
1.0,2013-01-02,1.0,3,foo_15
1.0,2013-01-02,1.0,3,foo_16
1.0,2013-01-02,1.0,3,foo_17
1.0,2013-01-02,1.0,3,foo_18
1.0,2013-01-02,1.0,3,foo_19
1.0,2013-01-02,1.0,3,foo_20
1.0,2013-01-02,1.0,3,foo_21
1.0,2013-01-02,1.0,3,foo_22
1.0,2013-01-02,1.0,3,foo_23
1.0,2013-01-02,1.0,3,foo_24
1.0,2013-01-02,1.0,3,foo_25
1.0,2013-01-02,1.0,3,foo_26
1.0,2013-01-02,1.0,3,foo_27
1.0,2013-01-02,1.0,3,foo_28
1.0,2013-01-02,1.0,3,foo_29
1.0,2013-01-02,1.0,3,foo_30
1.0,2013-01-02,1.0,3,foo_31
1.0,2013-01-02,1.0,3,foo_32
1.0,2013-01-02,1.0,3,foo_33
1.0,2013-01-02,1.0,3,foo_34
1.0,2013-01-02,1.0,3,foo_35
1.0,2013-01-02,1.0,3,foo_36
1.0,2013-01-02,1.0,3,foo_37
1.0,2013-01-02,1.0,3,foo_38
1.0,2013-01-02,1.0,3,foo_39
1.0,2013-01-02,1.0,3,foo_40
1.0,2013-01-02,1.0,3,foo_41
1.0,2013-01-02,1.0,3,foo_42
1.0,2013-01-02,1.0,3,foo_43
1.0,2013-01-02,1.0,3,foo_44
1.0,2013-01-02,1.0,3,foo_45
1.0,2013-01-02,1.0,3,foo_46
1.0,2013-01-02,1.0,3,foo_47
1.0,2013-01-02,1.0,3,foo_48
1.0,2013-01-02,1.0,3,foo_49
1.0,2013-01-02,1.0,3,foo_50
1.0,2013-01-02,1.0,3,foo_51
1.0,2013-01-02,1.0,3,foo_52
1.0,2013-01-02,1.0,3,foo_53
1.0,2013-01-02,1.0,3,foo_54
1.0,2013-01-02,1.0,3,foo_55
1.0,2013-01-02,1.0,3,foo_56
1.0,2013-01-02,1.0,3,foo_57
1.0,2013-01-02,1.0,3,foo_58
1.0,2013-01-02,1.0,3,foo_59
1.0,2013-01-02,1.0,3,foo_60
1.0,2013-01-02,1.0,3,foo_61
1.0,2013-01-02,1.0,3,foo_62
1.0,2013-01-02,1.0,3,foo_63
1.0,2013-01-02,1.0,3,foo_64
1.0,2013-01-02,1.0,3,foo_65
1.0,2013-01-02,1.0,3,foo_66
1.0,2013-01-02,1.0,3,foo_67
1.0,2013-01-02,1.0,3,foo_68
1.0,2013-01-02,1.0,3,foo_69
1.0,2013-01-02,1.0,3,foo_70
1.0,2013-01-02,1.0,3,foo_71
1.0,2013-01-02,1.0,3,foo_72
1.0,2013-01-02,1.0,3,foo_73
1.0,2013-01-02,1.0,3,foo_74
1.0,2013-01-02,1.0,3,foo_75
1.0,2013-01-02,1.0,3,foo_76
1.0,2013-01-02,1.0,3,foo_77
1.0,2013-01-02,1.0,3,foo_78
1.0,2013-01-02,1.0,3,foo_79
1.0,2013-01-02,1.0,3,foo_80
1.0,2013-01-02,1.0,3,foo_81
1.0,2013-01-02,1.0,3,foo_82
1.0,2013-01-02,1.0,3,foo_83
1.0,2013-01-02,1.0,3,foo_84
1.0,2013-01-02,1.0,3,foo_85
1.0,2013-01-02,1.0,3,foo_86
1.0,2013-01-02,1.0,3,foo_87
1.0,2013-01-02,1.0,3,foo_88
1.0,2013-01-02,1.0,3,foo_89
1.0,2013-01-02,1.0,3,foo_90
1.0,2013-01-02,1.0,3,foo_91
1.0,2013-01-02,1.0,3,foo_92
1.0,2013-01-02,1.0,3,foo_93
1.0,2013-01-02,1.0,3,foo_94
1.0,2013-01-02,1.0,3,foo_95
1.0,2013-01-02,1.0,3,foo_96
1.0,2013-01-02,1.0,3,foo_97
1.0,2013-01-02,1.0,3,foo_98
1.0,2013-01-02,1.0,3,foo_99
1.0,2013-01-02,1.0,3,foo_100
1.0,2013-01-02,1.0,3,foo_101
1.0,2013-01-02,1.0,3,foo_102
1.0,2013-01-02,1.0,3,foo_103
1.0,2013-01-02,1.0,3,foo_104
1.0,2013-01-02,1.0,3,foo_105
