client_id,age,income_usd,employment_years,credit_history
9000,47,"$14,679",2,Excellent
9001,29,"$10,960",10+,Good
9002,27,"$5,748",2,
9003,61,"$8,718",10+,Poor
9004,28,"$4,581",missing,
9005,32,"$3,093",5,Poor
9006,33,"$6,500",10,Good
9007,34,"$10,799",2,Poor
9008,43,"$7,710",10+,
9009,19,"$11,732",10+,Poor
9010,67,"$4,875",missing,Good
9011,29,"$5,191",10+,Poor
9012,68,"$3,837",1,Excellent
9013,43,"$2,689",0,
9014,40,"$5,759",5,Excellent
9015,35,"$13,141",missing,Good
9016,49,"$4,103",missing,Poor
9017,66,"$2,365",2,Excellent
9018,55,"$13,767",1,Excellent
9019,64,"$10,092",2,Poor
9020,20,"$14,742",2,Poor
9021,55,"$14,391",10,
9022,20,"$6,172",10,Excellent
9023,47,"$14,517",10,Excellent
9024,18,"$8,033",1,Good
9025,47,"$4,378",2,
9026,62,"$3,205",0,Good
9027,49,"$6,988",5,Excellent
9028,-10,"$14,031",10,Good
9029,38,"$7,669",10,Excellent
9030,63,"$4,735",missing,Excellent
9031,30,"$13,539",2,Good
9032,44,"$11,867",2,Good
9033,53,"$10,490",1,Poor
9034,24,"$2,956",1,Poor
9035,39,"$11,306",10,Poor
9036,27,"$8,623",2,Excellent
9037,56,"$12,697",0,Good
9038,32,"$3,474",5,
9039,32,"$6,460",2,Excellent
9040,21,"$9,002",missing,
9041,49,"$14,638",2,Good
9042,40,"$13,918",10+,Excellent
9043,23,"$13,663",1,
9044,41,"$8,396",missing,
9045,-10,"$4,828",5,Poor
9046,54,"$4,850",10,Poor
9047,37,"$12,698",missing,Poor
9048,29,"$13,962",2,Excellent
9049,50,"$4,964",10,Good
